Model, Scenario, Algorithm, Iteration, State, NumberOfParameters,TotalPossibleCombinations,NumberOfFaults,Overlap,SafeValue,Strength,ClassFScore,ClassPrecision,ClassRecall,ExecutionTime,FScore,NumInvalidTests,NumMultipleFaults,NumberOfResults,NumberOfTestCases,NumberOfUniqueTestCases,PctInvalidTests,PctMultipleFaults,Precision,Recall
Random2,S5,FIC_BS,0,COMPLETED,8,1024,3,4,0,4,0.72,0.5625,1,560,0.285714286,233,68,4,591,477,0.394247039,0.115059222,0.25,0.333333333
Random2,S5,Ala,0,TIME_OUT,8,1024,3,4,0,4,,,,,,,,,,,,,,
Random2,S5,IDD,0,COMPLETED,8,1024,3,4,0,4,0.857142857,0.75,1,507,0.4,51,15,2,128,128,0.3984375,0.1171875,0.5,0.333333333
Random2,S5,Ben,0,COMPLETED,8,1024,3,4,0,4,0.741312741,0.588957055,1,871,0.005150215,54,16,1162,133,133,0.406015038,0.120300752,0.002581756,1
Random2,S5,Ict,0,COMPLETED,8,1024,3,4,0,4,1,1,1,3134,0.4,59,5,2,128,127,0.4609375,0.0390625,0.5,0.333333333
Random2,S5,Ipog,0,COMPLETED,8,1024,3,4,0,4,0.249240122,1,0.142361111,485,0,51,14,82,125,125,0.408,0.112,0,0
Random2,S0,Aifl,0,COMPLETED,8,1024,1,0,0,3,1,1,1,447,0.019047619,33,0,104,74,74,0.445945946,0,0.009615385,1
Random2,S0,IterAifl,0,COMPLETED,8,1024,1,0,0,3,1,1,1,456,0.019047619,71,0,104,151,151,0.470198675,0,0.009615385,1
Random2,S0,FIC,0,COMPLETED,8,1024,1,0,0,3,1,1,1,434,1,33,0,1,81,81,0.407407407,0,1,1
Random2,S0,Csp,0,COMPLETED,8,1024,1,0,0,3,1,1,1,498,1,17,0,1,45,45,0.377777778,0,1,1
Random2,S0,FIC_BS,0,COMPLETED,8,1024,1,0,0,3,1,1,1,438,1,36,0,1,89,85,0.404494382,0,1,1
Random2,S0,Ala,0,TIME_OUT,8,1024,1,0,0,3,,,,,,,,,,,,,,
Random2,S0,IDD,0,COMPLETED,8,1024,1,0,0,3,1,1,1,441,1,19,0,1,52,52,0.365384615,0,1,1
Random2,S0,Ben,0,COMPLETED,8,1024,1,0,0,3,1,1,1,453,1,19,0,1,61,61,0.31147541,0,1,1
Random2,S0,Ict,0,COMPLETED,8,1024,1,0,0,3,1,1,1,1045,1,23,0,1,59,59,0.389830508,0,1,1
Random2,S0,Ipog,0,COMPLETED,8,1024,1,0,0,3,0.117647059,1,0.0625,430,0,17,0,4,45,45,0.377777778,0,0,0
Random2,S1,Aifl,0,COMPLETED,8,1024,1,0,0,1,1,1,1,360,0.00623053,22,0,320,28,28,0.785714286,0,0.003125,1
Random2,S1,IterAifl,0,COMPLETED,8,1024,1,0,0,1,1,1,1,378,0.00623053,74,0,320,114,114,0.649122807,0,0.003125,1
Random2,S1,FIC,0,COMPLETED,8,1024,1,0,0,1,1,1,1,359,1,28,0,1,31,29,0.903225806,0,1,1
Random2,S1,Csp,0,COMPLETED,8,1024,1,0,0,1,0.5,0.5,0.5,372,0,4,0,1,4,4,1,0,0,0
Random2,S1,FIC_BS,0,COMPLETED,8,1024,1,0,0,1,1,1,1,347,1,19,0,1,22,21,0.863636364,0,1,1
Random2,S1,Ala,0,TIME_OUT,8,1024,1,0,0,1,,,,,,,,,,,,,,
Random2,S1,IDD,0,COMPLETED,8,1024,1,0,0,1,1,1,1,362,1,8,0,1,8,8,1,0,1,1
Random2,S1,Ben,0,COMPLETED,8,1024,1,0,0,1,1,1,1,364,1,11,0,1,18,18,0.611111111,0,1,1
Random2,S1,Ict,0,COMPLETED,8,1024,1,0,0,1,1,1,1,400,1,14,0,1,18,18,0.777777778,0,1,1
Random2,S1,Ipog,0,COMPLETED,8,1024,1,0,0,1,0.011650485,1,0.005859375,353,0,4,0,3,4,4,1,0,0,0
Random2,S2,Aifl,0,COMPLETED,8,1024,2,2,0,4,0.95049505,0.905660377,1,525,0.038095238,78,0,103,185,185,0.421621622,0,0.019417476,1
Random2,S2,IterAifl,0,COMPLETED,8,1024,2,2,0,4,1,1,1,566,0.03960396,182,0,99,446,446,0.408071749,0,0.02020202,1
Random2,S2,FIC,0,COMPLETED,8,1024,2,2,0,4,0.52173913,0.352941176,1,512,0.8,70,0,3,197,188,0.355329949,0,0.666666667,1
Random2,S2,Csp,0,COMPLETED,8,1024,2,2,0,4,0.85106383,0.869565217,0.833333333,1818,0.5,51,0,2,125,125,0.408,0,0.5,0.5
Random2,S2,FIC_BS,0,COMPLETED,8,1024,2,2,0,4,0.315789474,0.1875,1,499,0.8,75,0,3,230,201,0.326086957,0,0.666666667,1
Random2,S2,Ala,0,TIME_OUT,8,1024,2,2,0,4,,,,,,,,,,,,,,
